Burst1,Burst5,Burst10,Burst15,Burst20
0.55522,0.60861,0.61604,0.61141,0.61664
0.49488,0.61199,0.60771,0.61372,0.60941
0.45895,0.61318,0.61161,0.61644,0.60671
0.40627,0.62374,0.60579,0.60911,0.61422
0.36555,0.60827,0.62232,0.61453,0.61121
0.33329,0.60608,0.62198,0.62199,0.61422
0.2974,0.59898,0.6083,0.61862,0.61705
0.26702,0.57795,0.61246,0.61433,0.61241
0.23671,0.56451,0.60907,0.61252,0.6125
0.21555,0.54076,0.60237,0.61247,0.6158
0.19845,0.52868,0.61249,0.61261,0.6057
0.17494,0.49944,0.59881,0.60523,0.60766
0.16494,0.47691,0.5769,0.60482,0.6128
0.14759,0.45167,0.563,0.61416,0.6219
0.13643,0.42906,0.55284,0.58466,0.61674
0.11548,0.40623,0.53705,0.58542,0.61092
0.105,0.37522,0.52983,0.57789,0.59788
0.09735,0.35157,0.4937,0.55757,0.5818
0.08889,0.32117,0.47448,0.5524,0.58205
0.07613,0.30347,0.46036,0.5424,0.57534
0.07184,0.28662,0.42555,0.51025,0.5661
0.06028,0.24917,0.40544,0.50591,0.5487
0.05636,0.23226,0.38379,0.45783,0.52003
0.05085,0.21918,0.35749,0.44732,0.49208
0.04908,0.19818,0.33527,0.42137,0.4821
0.04159,0.1783,0.3156,0.40072,0.45951
0.03733,0.16672,0.2891,0.37769,0.43903
0.0328,0.14774,0.26036,0.35042,0.41449
0.03063,0.13565,0.24635,0.32764,0.39487
0.02724,0.12533,0.22603,0.30511,0.36389
0.02463,0.1097,0.21035,0.28119,0.3434
0.02157,0.10217,0.18643,0.26131,0.31682
0.01885,0.0969,0.17399,0.23942,0.2975
0.01858,0.07991,0.15748,0.21928,0.27779
0.01544,0.0788,0.14781,0.20443,0.26234
0.01548,0.06923,0.13135,0.18816,0.23532
0.01386,0.05965,0.12297,0.16928,0.21761
0.01186,0.05641,0.10995,0.15917,0.2019
0.01027,0.0522,0.09989,0.14602,0.18789
0.00889,0.05,0.09009,0.12939,0.16817
0.00787,0.04499,0.08245,0.123,0.15469
0.00856,0.03699,0.0792,0.10682,0.13707
0.00717,0.03224,0.06671,0.09968,0.13044
0.00626,0.03061,0.06203,0.09101,0.11879
0.00494,0.02677,0.05497,0.07922,0.10418
0.0052,0.02589,0.05088,0.0723,0.09473
0.00397,0.02415,0.04414,0.06797,0.08939
0.005,0.02179,0.04213,0.0574,0.08031
0.0037,0.01907,0.03684,0.05525,0.07428
0.00408,0.01714,0.03185,0.0488,0.06627
0.00327,0.01571,0.03234,0.04371,0.05641
0.0028,0.01514,0.02636,0.044,0.05538
0.00235,0.01246,0.02474,0.03813,0.04743
0.00283,0.01032,0.02337,0.03214,0.04435
0.00182,0.01001,0.01931,0.02923,0.03847
0.00206,0.0082,0.01949,0.02507,0.03296
0.00163,0.0074,0.01763,0.02438,0.03161
0.00156,0.00727,0.01378,0.02286,0.02885
0.00156,0.00709,0.01398,0.02074,0.02694
0.00123,0.00593,0.01197,0.01774,0.02464
0.00112,0.00613,0.01169,0.01677,0.02108
0.00128,0.00492,0.01046,0.01395,0.01894
0.00082,0.00483,0.009,0.01414,0.01577
0.00124,0.00431,0.00822,0.01226,0.01636
0.00047,0.00367,0.00754,0.01216,0.01398
0.00062,0.0037,0.00766,0.01117,0.01292
0.00063,0.00262,0.00611,0.00932,0.01264
0.00032,0.00228,0.00546,0.00785,0.01038
0.00061,0.00193,0.00537,0.0063,0.00851
0.00053,0.00207,0.00454,0.00599,0.0087
0.00048,0.0017,0.00401,0.00581,0.0069
0.00061,0.00186,0.00321,0.00515,0.00761
0.0003,0.00135,0.00334,0.00442,0.00598
0.00012,0.00159,0.00296,0.00424,0.00606
0.0002,0.0015,0.00302,0.00405,0.00456
0.00021,0.0015,0.002,0.00326,0.00421
0.00029,0.00079,0.00192,0.00328,0.00453
4e-05,0.00133,0.00165,0.00203,0.00369
8e-05,0.0006,0.00158,0.00206,0.00393
0.0001,0.00092,0.00129,0.00224,0.0033
