Line,3x3 Square,Ring,Star
0.29455,0.3147,0.30786,0.29856
0.27918,0.30496,0.29282,0.28237
0.2759,0.29609,0.27069,0.27589
0.26846,0.29656,0.25603,0.26772
0.25636,0.28409,0.24708,0.25475
0.24893,0.27152,0.2358,0.24946
0.24326,0.27112,0.22125,0.23592
0.22935,0.2623,0.20742,0.2244
0.22203,0.25362,0.19955,0.22221
0.21988,0.24821,0.18487,0.21642
0.20765,0.23681,0.1778,0.20794
0.2005,0.24034,0.16559,0.19856
0.19465,0.22696,0.15419,0.19598
0.18489,0.2251,0.15251,0.18914
0.1817,0.21423,0.14627,0.18312
0.17255,0.19636,0.13714,0.17547
0.16852,0.1945,0.12515,0.16857
0.1651,0.19091,0.12282,0.16343
0.15185,0.18334,0.11505,0.157
0.15154,0.17872,0.10751,0.15726
0.14903,0.17267,0.10054,0.1493
0.14383,0.16888,0.09521,0.13834
0.13777,0.15768,0.09004,0.1411
0.1313,0.15674,0.08847,0.13346
0.12835,0.15324,0.08545,0.12714
0.1252,0.15286,0.07883,0.12582
0.11797,0.14557,0.07601,0.1208
0.11556,0.13985,0.07451,0.11611
0.11649,0.12678,0.06943,0.11484
0.11103,0.12264,0.06269,0.10961
0.10785,0.12221,0.05784,0.10698
0.09888,0.12175,0.05849,0.09951
0.09896,0.11368,0.05467,0.09659
0.09503,0.10744,0.0499,0.09556
0.09143,0.10746,0.05096,0.08871
0.08458,0.1059,0.04969,0.08548
0.08808,0.10352,0.04196,0.08673
0.08169,0.1005,0.04237,0.08495
0.07794,0.09595,0.03807,0.07972
0.0778,0.08773,0.03654,0.07767
0.07403,0.08654,0.03378,0.07284
0.07054,0.08305,0.0342,0.0725
0.06929,0.07595,0.02937,0.07133
0.06667,0.07926,0.03146,0.06735
0.06583,0.07357,0.02898,0.06545
0.0618,0.07381,0.02668,0.06386
0.062,0.06959,0.02254,0.06158
0.05667,0.06493,0.0245,0.05782
0.05707,0.06267,0.02182,0.05367
0.0533,0.06121,0.02474,0.0536
0.05504,0.05733,0.01792,0.0541
0.05154,0.05527,0.01798,0.05144
0.04853,0.05569,0.01753,0.04695
0.04755,0.05266,0.01811,0.04725
0.04669,0.04877,0.01523,0.04909
0.04538,0.04648,0.01486,0.04393
0.04221,0.04719,0.0158,0.04217
0.03972,0.04186,0.01377,0.042
0.03921,0.04233,0.01379,0.03937
0.03894,0.0426,0.01371,0.03781
0.03767,0.03831,0.01152,0.03781
0.03766,0.03574,0.01087,0.03542
0.03422,0.03695,0.0086,0.03597
0.03438,0.03682,0.00947,0.03158
0.03238,0.03312,0.01066,0.03262
0.03299,0.03226,0.00962,0.03065
0.03202,0.03255,0.00808,0.03023
0.02826,0.02735,0.00917,0.02755
0.02725,0.02912,0.00858,0.02795
0.02694,0.02573,0.00649,0.02668
0.02623,0.02395,0.00631,0.02462
0.02476,0.02399,0.00613,0.02584
0.02439,0.0205,0.00639,0.02336
0.02328,0.02091,0.00488,0.02338
0.02347,0.02114,0.00502,0.02125
0.02381,0.01977,0.00438,0.02239
0.02251,0.01697,0.00498,0.02106
0.02164,0.01879,0.00424,0.02006
0.02006,0.01787,0.00457,0.02006
0.01874,0.01519,0.00361,0.01965
0.01867,0.01652,0.00466,0.01721
0.01844,0.01508,0.0047,0.01853
0.01531,0.01512,0.00398,0.01775
0.01681,0.01406,0.00337,0.01547
0.01567,0.01156,0.00311,0.01529
0.01677,0.01301,0.00292,0.01549
0.01413,0.01233,0.00282,0.01612
0.01545,0.01137,0.00354,0.01465
0.01394,0.01243,0.0026,0.01317
0.01408,0.0091,0.00183,0.01403
0.01391,0.00959,0.00269,0.01273
0.01335,0.01022,0.00215,0.01302
0.01226,0.00962,0.00237,0.01203
0.01099,0.00894,0.0017,0.01302
0.00975,0.009,0.00195,0.01197
0.01163,0.00859,0.00181,0.01234
0.00981,0.00635,0.0015,0.00993
0.00936,0.00757,0.0016,0.01045
0.01063,0.00726,0.00177,0.00921
