Line,Square,Ring,Star
0.1776,0.3447,0.1714,0.1519
0.1735,0.3296,0.163,0.1406
0.1602,0.3375,0.1592,0.1179
0.1541,0.3165,0.1548,0.0922
0.1519,0.3188,0.1501,0.0864
0.1454,0.3145,0.1453,0.0697
0.1328,0.3054,0.1384,0.046
0.1345,0.2858,0.1388,0.0528
0.1337,0.2882,0.1337,0.0418
0.1283,0.2865,0.1338,0.0343
0.1213,0.2602,0.1274,0.0258
0.1095,0.2448,0.1172,0.0215
0.1194,0.2608,0.1222,0.0152
0.1014,0.2507,0.112,0.0073
0.1106,0.2397,0.1208,0.0106
0.0999,0.2388,0.1078,0.0126
0.0971,0.2207,0.1133,0.0071
0.0906,0.2207,0.1067,0.0067
0.0898,0.2229,0.0984,0.0056
0.088,0.2195,0.0989,0.0068
0.0861,0.2138,0.0981,0.0042
0.077,0.2031,0.0967,0.0031
0.0781,0.2058,0.0974,0.0014
0.072,0.1934,0.0888,0.002
0.0724,0.1884,0.0877,0.0012
0.069,0.1769,0.0833,0.0016
0.0717,0.1919,0.0808,0.0019
0.0721,0.1822,0.0848,0.0013
0.0604,0.1635,0.0808,0.0009
0.0557,0.1598,0.0762,0.0009
0.0633,0.168,0.0752,0.0006
0.0632,0.161,0.0744,0.001
0.0517,0.1613,0.0687,0.0004
0.0549,0.1526,0.0643,0.0005
0.0524,0.1442,0.0658,0.0005
0.0524,0.1458,0.0618,0.0006
0.0515,0.1407,0.0628,0.0002
0.0491,0.1431,0.0491,0.0002
0.0452,0.1408,0.0563,0.0002
0.0458,0.1299,0.0586,0
0.0426,0.1244,0.058,0.0002
0.0408,0.1287,0.0546,0
0.0362,0.1184,0.0526,0.0001
0.0362,0.118,0.0498,0
0.0385,0.1136,0.0513,0
0.0343,0.1083,0.045,0.0001
0.036,0.1068,0.0512,0.0001
0.0318,0.1051,0.0469,0
0.0267,0.1017,0.0438,0
0.032,0.0978,0.0386,0.0001
0.0299,0.106,0.0389,0
0.0322,0.0981,0.0449,0
0.0261,0.0912,0.0394,0.0001
0.0301,0.0847,0.0373,0
0.0278,0.0929,0.0357,0
0.0258,0.0922,0.0376,0
0.026,0.0878,0.0376,0
0.0247,0.0838,0.0329,0
0.0222,0.0788,0.0342,0
0.0194,0.0753,0.0284,0
0.022,0.0783,0.0295,0
0.0188,0.0803,0.0295,0.0001
0.0177,0.0806,0.0285,0
0.014,0.07,0.0294,0
0.0202,0.0728,0.0259,0
0.0172,0.0668,0.0244,0
0.0174,0.0613,0.0241,0
0.0161,0.0618,0.0239,0
0.0121,0.06,0.0233,0
0.0136,0.0624,0.0262,0
0.0149,0.0608,0.0247,0
0.0121,0.0561,0.0231,0
0.015,0.055,0.0227,0
0.0107,0.0613,0.023,0
0.0158,0.0551,0.022,0
