Burst = 1,Burst = 5,Burst = 10,Burst = 15,Burst = 20
1.6248,1.681,1.6747,1.6681,1.6678
1.50595,1.63815,1.67565,1.6826,1.66885
1.42455,1.66615,1.65065,1.6865,1.6398
1.3328,1.65265,1.6765,1.6438,1.67305
1.2462,1.666,1.653,1.68745,1.66145
1.1396,1.66145,1.6903,1.6685,1.67665
1.07175,1.66395,1.65375,1.6604,1.66005
0.9844,1.66725,1.6585,1.67355,1.635
0.9288,1.64095,1.64735,1.66755,1.6731
0.85675,1.639,1.66425,1.6661,1.64885
0.7999,1.596,1.6593,1.6707,1.63975
0.7445,1.59905,1.6526,1.68985,1.66
0.6963,1.56675,1.66275,1.66175,1.67515
0.6537,1.50795,1.66675,1.66035,1.6793
0.6031,1.5032,1.66825,1.6715,1.6498
0.57055,1.44665,1.66275,1.6647,1.68515
0.5314,1.42505,1.62425,1.66335,1.6698
0.491,1.401,1.62865,1.70805,1.67385
0.46365,1.3445,1.59785,1.6343,1.65255
0.4265,1.3009,1.58,1.645,1.67495
0.3977,1.25675,1.5617,1.6285,1.6593
0.3819,1.21725,1.53175,1.65475,1.6664
0.3512,1.1707,1.51855,1.60885,1.6595
0.3254,1.11905,1.45845,1.61285,1.66015
0.31555,1.05515,1.44345,1.59105,1.66175
0.27515,1.032,1.4054,1.5779,1.6416
0.27335,0.9606,1.3745,1.5488,1.614
0.2517,0.93045,1.35385,1.5024,1.60375
0.2286,0.87535,1.3078,1.48485,1.57845
0.2174,0.8352,1.2548,1.4676,1.5779
0.2093,0.7931,1.19745,1.44925,1.54675
0.18225,0.7482,1.1885,1.4114,1.51705
0.1747,0.7174,1.1009,1.36865,1.472
0.16205,0.67385,1.0937,1.3194,1.4623
0.14975,0.65635,1.03675,1.2791,1.4358
0.14125,0.6119,0.98125,1.2446,1.3839
0.13125,0.56075,0.9482,1.19165,1.3485
0.12785,0.53525,0.88935,1.16,1.3249
0.1098,0.5093,0.8588,1.0933,1.27395
0.10565,0.47145,0.8144,1.057,1.24735
0.1026,0.43885,0.76815,1.0076,1.1838
0.0921,0.4102,0.74225,0.98415,1.1489
0.087,0.3899,0.7061,0.9396,1.098
0.0815,0.37675,0.65955,0.8888,1.0742
0.0707,0.36105,0.6386,0.848,1.0042
0.0749,0.32655,0.5953,0.8189,0.9886
0.07,0.3155,0.56555,0.77915,0.9176
0.06085,0.2892,0.5217,0.73265,0.8936
0.05575,0.26905,0.50685,0.6874,0.84335
0.0502,0.2565,0.4743,0.64785,0.8297
