Burst1,Burst5,Burst10,Burst15,Burst20
0.3027,0.3059,0.3111,0.2937,0.2797
0.2637,0.3013,0.2904,0.2945,0.3106
0.2514,0.2903,0.2868,0.3216,0.3128
0.2388,0.2826,0.3011,0.29,0.3104
0.2275,0.2964,0.3134,0.3251,0.31
0.2083,0.2784,0.3049,0.2995,0.3264
0.2103,0.2926,0.2923,0.2984,0.2893
0.1928,0.3065,0.3075,0.2999,0.3254
0.1676,0.3027,0.2959,0.299,0.2973
0.148,0.3193,0.3006,0.3143,0.3014
0.1515,0.3057,0.309,0.307,0.3074
0.1401,0.2869,0.304,0.3231,0.3071
0.1346,0.2993,0.3016,0.3037,0.3163
0.1095,0.2954,0.3035,0.3173,0.304
0.1105,0.2801,0.3147,0.3067,0.312
0.1025,0.2873,0.2948,0.321,0.2874
0.0931,0.2941,0.308,0.2865,0.3205
0.0901,0.3166,0.3234,0.3222,0.3076
0.0809,0.267,0.2961,0.299,0.2966
0.0797,0.2864,0.2989,0.3037,0.3226
0.078,0.2703,0.3152,0.3035,0.3015
0.0691,0.286,0.2798,0.3058,0.3157
0.059,0.2666,0.3149,0.3132,0.3019
0.0605,0.2932,0.2961,0.3104,0.3001
0.052,0.2723,0.2873,0.3186,0.2946
0.0539,0.2541,0.3139,0.2913,0.3175
0.053,0.2573,0.2997,0.3122,0.3071
0.0423,0.2651,0.2943,0.3001,0.3055
0.0438,0.2532,0.3002,0.3064,0.2796
0.0366,0.252,0.3087,0.3041,0.3036
0.041,0.2242,0.2915,0.3185,0.3026
0.0352,0.2234,0.2934,0.3142,0.3127
0.0367,0.2278,0.304,0.3044,0.3138
0.0334,0.2219,0.2898,0.3067,0.3165
0.0293,0.2063,0.3129,0.2894,0.3064
0.0272,0.2021,0.2903,0.3024,0.298
0.0219,0.204,0.2887,0.2962,0.3039
0.0288,0.1938,0.2639,0.2932,0.3025
0.0196,0.1824,0.2938,0.3038,0.2936
0.0147,0.1978,0.2919,0.292,0.3004
0.0184,0.1845,0.2655,0.2925,0.3107
0.018,0.173,0.2743,0.2804,0.3085
0.0125,0.1447,0.2749,0.2855,0.3027
0.018,0.1647,0.2596,0.2854,0.2884
0.011,0.1495,0.2419,0.2879,0.2981
0.0118,0.1405,0.2611,0.2858,0.3102
0.0105,0.1381,0.2397,0.2758,0.3056
0.008,0.1296,0.2376,0.2787,0.277
0.0148,0.1258,0.2331,0.2827,0.3039
0.0107,0.1292,0.2314,0.2553,0.3122
0.0107,0.108,0.2403,0.2526,0.3042
0.0121,0.1124,0.2116,0.2624,0.296
0.0095,0.1181,0.2187,0.2703,0.2906
0.0046,0.1011,0.2101,0.2627,0.2914
0.005,0.0931,0.2035,0.2469,0.2744
0.0045,0.0873,0.1849,0.2516,0.2895
0.0043,0.0881,0.2002,0.2325,0.2783
0.0042,0.0856,0.1816,0.248,0.2715
0.005,0.0846,0.1714,0.2407,0.2794
0.0077,0.0805,0.1748,0.2227,0.2584
0.0053,0.072,0.1744,0.218,0.269
0.0051,0.0661,0.1404,0.2348,0.2534
0.0047,0.0641,0.1645,0.2027,0.2626
0.0038,0.0709,0.1441,0.1933,0.2608
0.0049,0.0522,0.1302,0.2056,0.2672
0.0049,0.057,0.1306,0.194,0.246
0.0022,0.0522,0.1322,0.1978,0.2486
0.0022,0.0522,0.1227,0.1852,0.2312
0.0022,0.042,0.1059,0.1841,0.2245
0.0023,0.0439,0.1143,0.1589,0.2269
0.0018,0.0392,0.1039,0.1821,0.1998
0.0008,0.0391,0.1162,0.1687,0.2054
0.0018,0.0362,0.0903,0.1619,0.199
0.0025,0.0359,0.1022,0.1591,0.2139
0.0009,0.0329,0.0898,0.1466,0.1935
0.002,0.0263,0.0797,0.1277,0.1973
0.0016,0.0308,0.0812,0.127,0.1841
0.0024,0.0241,0.08,0.1257,0.1848
0,0.0251,0.0737,0.1173,0.1659
0.0007,0.0234,0.0689,0.1179,0.1589
0.0011,0.0217,0.0772,0.1247,0.1542
0.0002,0.0207,0.0565,0.1187,0.1455
0.0016,0.0217,0.062,0.1073,0.1475
0.0019,0.0161,0.048,0.1041,0.1324
0.0011,0.0185,0.0586,0.0958,0.1467
0.001,0.02,0.0482,0.1082,0.1342
0,0.0211,0.0495,0.0898,0.1201
0,0.0118,0.0491,0.0805,0.1198
0.0011,0.0105,0.0456,0.0854,0.1192
0.0007,0.0087,0.0457,0.0741,0.1039
0.0012,0.0084,0.0394,0.0733,0.104
0.0009,0.0102,0.035,0.0752,0.1067
0,0.0083,0.0365,0.0755,0.0978
0.0006,0.0093,0.0345,0.0574,0.0907
0.0011,0.012,0.0319,0.0556,0.0876
0.0001,0.0106,0.0282,0.0531,0.0814
0,0.0104,0.0297,0.0506,0.0839
0.0007,0.0109,0.0278,0.0466,0.0794
0.0005,0.0062,0.0251,0.051,0.0734
0.0003,0.0052,0.0224,0.0481,0.0711
0.0005,0.0082,0.02,0.0449,0.0577
0.0005,0.0089,0.0226,0.0438,0.0646
0.0006,0.006,0.0201,0.0339,0.0771
0,0.0046,0.0215,0.0352,0.0546
0.0007,0.0069,0.0194,0.0327,0.0565
0.0002,0.0052,0.0151,0.0306,0.0504
0.0005,0.0071,0.0164,0.0323,0.057
0.0001,0.0031,0.0143,0.0325,0.0442
0.0004,0.0024,0.0091,0.0262,0.0345
0.0001,0.0024,0.0133,0.0272,0.0448
0,0.002,0.013,0.0248,0.041
0.0002,0.0032,0.0097,0.0234,0.0346
0,0.0024,0.0098,0.0242,0.0323
0.0003,0.0034,0.0116,0.0255,0.0357
0.0002,0.0022,0.0065,0.0201,0.0349
0.0001,0.003,0.0088,0.0196,0.0281
0,0.002,0.0092,0.0138,0.0326
0.0003,0.0017,0.0065,0.0166,0.0293
0.0002,0.0003,0.0029,0.0089,0.027
0.0001,0.0013,0.0107,0.0174,0.0259
0.0001,0.0034,0.0087,0.0155,0.0204
0.0001,0.0022,0.0072,0.0102,0.0283
0,0.0024,0.0047,0.0121,0.0206
0,0.0018,0.008,0.0145,0.0197
0.0001,0.0003,0.0041,0.0097,0.0173
