Burst1,Burst5,Burst10,Burst15,Burst20
2.1865,2.43435,2.429,2.4388,2.41585
1.9801,2.4741,2.4688,2.423,2.45405
1.77925,2.46275,2.41005,2.46,2.464
1.63205,2.44185,2.45885,2.44385,2.4463
1.46475,2.39935,2.43935,2.4449,2.4961
1.3344,2.38375,2.4517,2.41065,2.39135
1.17515,2.3637,2.4651,2.4474,2.47455
1.08445,2.3166,2.4588,2.449,2.44965
0.9726,2.2766,2.4037,2.4425,2.44215
0.87625,2.13975,2.4222,2.44005,2.4385
0.78155,2.09905,2.3794,2.44465,2.4346
0.71745,1.97405,2.40525,2.41635,2.4247
0.6371,1.92085,2.33025,2.43475,2.4099
0.5615,1.7954,2.2706,2.40955,2.42605
0.52465,1.7109,2.2543,2.3613,2.4622
0.4581,1.6177,2.13545,2.3138,2.38035
0.4116,1.4916,2.1165,2.275,2.36365
0.3484,1.39435,2.01105,2.2058,2.3501
0.34105,1.25455,1.90585,2.1504,2.3351
0.29255,1.22335,1.8034,2.11615,2.25595
0.27945,1.0914,1.7124,2.0584,2.2458
0.24325,1.037,1.64725,1.96255,2.1938
0.22765,0.9385,1.53345,1.8729,2.09845
0.1954,0.8578,1.41545,1.7678,2.0183
0.18405,0.78375,1.3239,1.6892,1.91885
0.1643,0.6973,1.21695,1.60125,1.80525
0.15375,0.6448,1.1134,1.4918,1.7526
0.13725,0.6111,1.0363,1.3967,1.65835
0.12195,0.5504,0.96435,1.3044,1.5902
0.1035,0.49325,0.9173,1.20055,1.4751
0.10075,0.4602,0.82115,1.1103,1.3763
0.08605,0.41375,0.7413,1.04115,1.29015
0.0727,0.36105,0.67275,0.95055,1.1707
0.0713,0.34435,0.62085,0.89035,1.08065
0.06515,0.2907,0.56405,0.7799,1.011
0.04925,0.27295,0.50465,0.7594,0.9331
0.04975,0.2547,0.46495,0.6731,0.8787
0.0454,0.2338,0.43655,0.61745,0.77795
0.04255,0.2005,0.39505,0.5531,0.71545
0.0399,0.1866,0.3511,0.5006,0.6598
0.0358,0.16895,0.3231,0.4687,0.5981
0.03115,0.14835,0.29575,0.426,0.5734
0.0273,0.14,0.2646,0.38915,0.4976
0.0244,0.12845,0.25245,0.36535,0.44895
0.02495,0.11615,0.2209,0.318,0.42245
0.0221,0.09825,0.2107,0.28615,0.37795
0.017,0.0898,0.1805,0.262,0.3417
0.0153,0.08205,0.1544,0.2351,0.31755
0.01565,0.07225,0.14755,0.2115,0.2933
0.0109,0.06505,0.1376,0.19245,0.2643
0.0101,0.05865,0.1189,0.18165,0.23265
0.00945,0.05225,0.1099,0.17015,0.22015
0.01025,0.05045,0.09685,0.1394,0.18745
0.00785,0.0415,0.0919,0.1387,0.1675
0.00795,0.0372,0.07835,0.11345,0.15165
0.0098,0.0347,0.0643,0.10275,0.1462
0.0052,0.0322,0.063,0.09525,0.13505
0.0042,0.031,0.05085,0.09035,0.11345
0.0059,0.0271,0.05175,0.0708,0.10265
0.0053,0.0216,0.04615,0.07085,0.0951
0.0038,0.01845,0.0479,0.0568,0.08455
0.0026,0.01855,0.04105,0.0581,0.07265
0.0027,0.01555,0.032,0.052,0.06925
0.0027,0.0162,0.0316,0.0444,0.06815
0.0011,0.0108,0.02975,0.0452,0.0525
0.0028,0.0145,0.02395,0.0396,0.0522
0.00245,0.0129,0.0259,0.0363,0.0459
0.0031,0.00935,0.0185,0.03405,0.04505
0.0023,0.00535,0.01945,0.02615,0.0379
0.00125,0.00725,0.0168,0.02645,0.03185
0.00065,0.0078,0.01585,0.02095,0.0262
0.00175,0.00805,0.01325,0.02035,0.02795
0.00055,0.00515,0.0117,0.01405,0.022
0.0005,0.005,0.0131,0.01705,0.0211
0.0016,0.00645,0.00875,0.0142,0.0177
0.00065,0.0052,0.0105,0.01665,0.01965
0.00095,0.00375,0.00705,0.00925,0.01835
0.00095,0.0039,0.00755,0.00935,0.01475
0.00025,0.00305,0.00495,0.00975,0.01115
0.00035,0.0022,0.00535,0.0055,0.01095
