Burst = 400,Burst = 600,Burst = 800,Burst = 1000,Burst = 1200
0.631,0.591,0.673,0.652,0.581
0.591,0.581,0.611,0.452,0.611
0.652,0.641,0.571,0.694,0.552
0.641,0.684,0.652,0.652,0.571
0.694,0.641,0.591,0.684,0.652
0.728,0.641,0.621,0.621,0.611
0.571,0.581,0.611,0.621,0.611
0.533,0.533,0.515,0.601,0.652
0.631,0.581,0.611,0.652,0.581
0.601,0.673,0.581,0.641,0.739
0.631,0.673,0.543,0.641,0.641
0.591,0.662,0.631,0.717,0.581
0.662,0.524,0.652,0.611,0.652
0.662,0.571,0.717,0.631,0.684
0.444,0.601,0.552,0.652,0.694
0.621,0.543,0.543,0.552,0.591
0.673,0.611,0.591,0.684,0.552
0.652,0.621,0.662,0.662,0.652
0.57,0.515,0.684,0.591,0.601
0.66,0.611,0.694,0.641,0.631
0.522,0.631,0.621,0.652,0.621
0.574,0.561,0.717,0.611,0.621
0.682,0.558,0.601,0.728,0.515
0.654,0.521,0.577,0.609,0.662
0.553,0.737,0.581,0.64,0.579
0.611,0.529,0.633,0.714,0.661
0.496,0.553,0.61,0.658,0.578
0.453,0.552,0.489,0.56,0.646
0.415,0.494,0.586,0.712,0.604
0.387,0.39,0.506,0.588,0.555
0.301,0.36,0.404,0.492,0.491
0.229,0.372,0.403,0.517,0.606
0.256,0.277,0.362,0.399,0.51
0.197,0.206,0.351,0.426,0.478
0.172,0.194,0.282,0.319,0.308
0.088,0.198,0.261,0.271,0.331
0.107,0.159,0.208,0.232,0.277
0.051,0.15,0.18,0.153,0.22
0.102,0.119,0.161,0.131,0.211
0.049,0.117,0.157,0.11,0.145
0.059,0.075,0.083,0.107,0.112
0.05,0.071,0.077,0.093,0.155
0.063,0.049,0.07,0.095,0.092
0.048,0.047,0.034,0.093,0.08
0.026,0.006,0.039,0.064,0.095
0.008,0.032,0.031,0.072,0.074
0.031,0.034,0.032,0.042,0.034
0.019,0.02,0.021,0.036,0.047
0.012,0.026,0.017,0.032,0.025
0.022,0.023,0.008,0.02,0.044
0.005,0.019,0.021,0.037,0.034
0,0.008,0.009,0,0.027
0.005,0.015,0.017,0.016,0.033
0.009,0.012,0,0.015,0.006
0.006,0.001,0.011,0,0.01
0.003,0.007,0.009,0,0.012
0.005,0.007,0.004,0,0.007
0.001,0.007,0.003,0.007,0.012
0,0,0.002,0.007,0.007
0.001,0.002,0.006,0,0.005
0.002,0.003,0.003,0.003,0.004
0.002,0.002,0.002,0.002,0.003
0,0.001,0.002,0.002,0.003
0,0.001,0.003,0.001,0.003
0,0.001,0,0.002,0.004
0,0.001,0.003,0,0.002
0,0.001,0.001,0,0.001
0,0,0,0.001,0.004
0,0,0,0.001,0.001
0,0.001,0,0,0
0,0,0,0.001,0.001
0,0,0,0,0
0.001,0,0,0,0
0,0,0,0,0
0.001,0.001,0,0.001,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0.001
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0.001
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
