Line,Square,Ring,Star
0.5962,1.2234,0.6162,0.6304
0.6162,1.2114,0.5884,0.5923
0.6142,1.2134,0.6212,0.6354
0.6284,1.2074,0.5737,0.6043
0.6012,1.1877,0.5923,0.5959
0.5999,1.2134,0.6122,0.5043
0.6011,1.1965,0.5649,0.4463
0.6204,1.2628,0.6179,0.3384
0.598,1.211,0.5951,0.2517
0.5951,1.2338,0.6027,0.1728
0.6072,1.219,0.5792,0.1284
0.6152,1.2403,0.5961,0.0799
0.5584,1.2041,0.5848,0.0476
0.5849,1.2296,0.5718,0.0336
0.5334,1.1908,0.5763,0.0161
0.5465,1.2143,0.5739,0.011
0.5117,1.2191,0.5522,0.0098
0.5165,1.1837,0.5609,0.0028
0.4669,1.1536,0.5308,0.0021
0.4545,1.1437,0.5496,0
0.4356,1.1269,0.4961,0.0001
0.4145,1.1292,0.5139,0.0007
0.3698,1.0896,0.4752,0.0002
0.3392,1.0611,0.4769,0.0002
0.3367,1.0077,0.4477,0.0001
0.3155,0.9917,0.4226,0
0.2935,0.9416,0.4162,0.0001
0.2757,0.9298,0.4089,0.0001
0.257,0.9249,0.3919,0
0.2237,0.873,0.3673,0
0.2108,0.8446,0.334,0
0.1998,0.7767,0.3286,0
0.1746,0.7621,0.3205,0
0.1578,0.6981,0.293,0
0.1442,0.6591,0.2599,0
0.1364,0.6548,0.2768,0
0.129,0.5998,0.2391,0
0.1043,0.5527,0.242,0
0.1081,0.5501,0.2171,0
0.0945,0.5113,0.1945,0
0.0696,0.4938,0.1763,0
0.0799,0.4733,0.1662,0
0.0697,0.4259,0.1442,0
0.0592,0.4138,0.1472,0
0.0593,0.3895,0.1455,0
0.0428,0.3588,0.1359,0
0.044,0.3385,0.1179,0
0.0413,0.3317,0.1054,0
0.0401,0.3056,0.0973,0
0.0296,0.3002,0.1016,0
0.0222,0.274,0.0889,0
0.028,0.2534,0.0852,0
0.0195,0.2341,0.0759,0
0.0163,0.2262,0.0648,0
0.0186,0.1904,0.0664,0
0.0124,0.1737,0.0589,0
0.0125,0.1868,0.0478,0
0.0133,0.175,0.0451,0
0.0161,0.1575,0.0493,0
0.0108,0.1489,0.0416,0
0.0124,0.1316,0.0346,0
0.0076,0.1237,0.0382,0
0.0069,0.1121,0.0306,0
0.0073,0.1165,0.0258,0
0.0048,0.1009,0.0289,0
0.0045,0.0984,0.0263,0
0.0049,0.1004,0.0283,0
0.0053,0.0783,0.0228,0
0.0011,0.0748,0.0226,0
0.0044,0.0661,0.0228,0
0.0027,0.0607,0.0171,0
0.002,0.058,0.0185,0
0.0041,0.052,0.0156,0
0.0009,0.0513,0.0139,0
0.0008,0.0476,0.0086,0
