Line,Square,Ring,Star
0.1632,0.3446,0.167,0.4561
0.1565,0.3549,0.166,0.3857
0.1604,0.32,0.1614,0.3128
0.1575,0.3145,0.1514,0.2726
0.144,0.3163,0.1458,0.2158
0.1322,0.2979,0.1464,0.1791
0.141,0.3079,0.1362,0.1503
0.129,0.2948,0.1353,0.1184
0.1278,0.2837,0.1305,0.1019
0.1292,0.2832,0.1285,0.0856
0.1192,0.2683,0.1225,0.0756
0.1183,0.2644,0.1267,0.0581
0.1102,0.2502,0.1239,0.0538
0.108,0.2515,0.1206,0.0446
0.0978,0.2546,0.1169,0.034
0.1065,0.2364,0.1117,0.0289
0.0937,0.2176,0.1123,0.0222
0.0978,0.2254,0.1009,0.021
0.0893,0.214,0.1083,0.0175
0.0863,0.2189,0.0961,0.0154
0.0817,0.2086,0.0965,0.0115
0.081,0.2135,0.0991,0.0099
0.0823,0.195,0.0923,0.0073
0.0829,0.1905,0.0852,0.0061
0.0671,0.1909,0.0853,0.0075
0.0706,0.1897,0.0834,0.0044
0.0663,0.1924,0.0807,0.0033
0.0655,0.1878,0.0797,0.0033
0.0618,0.173,0.0741,0.0024
0.0622,0.1755,0.0738,0.0014
0.0621,0.1685,0.0651,0.0025
0.0538,0.1433,0.0675,0.0011
0.0521,0.1562,0.0693,0.0014
0.0578,0.1538,0.0674,0.0006
0.049,0.151,0.0637,0.0009
0.0485,0.1393,0.0678,0.0012
0.0543,0.1434,0.0625,0.0007
0.0443,0.1366,0.0629,0.0009
0.0468,0.1309,0.0598,0.0002
0.0436,0.1385,0.0538,0.0006
0.0433,0.1267,0.0526,0.0003
0.0388,0.127,0.0584,0.0003
0.0438,0.1183,0.0472,0.0003
0.0379,0.1227,0.0491,0.0003
0.0335,0.1188,0.0504,0.0001
0.0353,0.1175,0.0548,0.0001
0.0358,0.101,0.0436,0
0.0346,0.0993,0.0446,0
0.0336,0.1067,0.0458,0.0002
0.0277,0.1026,0.0447,0.0001
0.0347,0.1026,0.0423,0.0001
0.0279,0.0884,0.0372,0
0.0299,0.0933,0.0422,0.0001
0.0271,0.0919,0.0386,0.0001
0.0253,0.0907,0.0386,0
0.027,0.0968,0.0382,0
0.0232,0.0828,0.0343,0
0.0225,0.0886,0.0354,0
0.023,0.0908,0.0337,0.0001
0.0177,0.0794,0.0287,0
0.023,0.0774,0.0335,0
0.0186,0.076,0.032,0
0.0179,0.0716,0.0286,0.0001
0.0172,0.0771,0.0306,0
0.0182,0.0686,0.0241,0
0.0184,0.0728,0.0259,0
0.0135,0.0648,0.0273,0
0.0157,0.0674,0.0241,0
0.0137,0.0602,0.026,0
0.0134,0.0655,0.0233,0
0.0137,0.0595,0.022,0
0.0157,0.0615,0.0256,0
0.0105,0.06,0.0233,0
0.0107,0.0595,0.0223,0
0.0128,0.0581,0.0212,0
