Line,Square,Ring,Star
0.173,0.34674,0.17422,0.16455
0.16777,0.34381,0.16951,0.13518
0.16234,0.32951,0.1637,0.11205
0.15859,0.32382,0.15859,0.09555
0.14894,0.31711,0.1543,0.07896
0.14276,0.31116,0.15171,0.06268
0.14276,0.30375,0.14829,0.05297
0.13614,0.29306,0.1444,0.04414
0.13269,0.28732,0.13989,0.0386
0.12893,0.27821,0.13558,0.02971
0.12371,0.2734,0.13144,0.02574
0.12066,0.26585,0.12935,0.02218
0.11585,0.25981,0.12411,0.01753
0.10936,0.25649,0.12264,0.01491
0.10548,0.24518,0.11707,0.01117
0.10165,0.24627,0.11403,0.01017
0.09691,0.23462,0.11086,0.00797
0.09424,0.22993,0.10825,0.00714
0.09049,0.22382,0.10517,0.00655
0.08863,0.21893,0.1022,0.00537
0.08528,0.21136,0.09996,0.0045
0.08433,0.20793,0.09598,0.00388
0.08132,0.19826,0.09486,0.00314
0.08005,0.20011,0.09282,0.0022
0.07289,0.19517,0.08974,0.00186
0.07454,0.19018,0.08748,0.00126
0.06907,0.18624,0.08322,0.00115
0.06655,0.17781,0.08251,0.00117
0.06721,0.1744,0.08129,0.00067
0.06419,0.16934,0.07899,0.00102
0.05859,0.16948,0.07565,0.00067
0.05894,0.16167,0.07546,0.00043
0.05694,0.15703,0.07253,0.00037
0.05487,0.15722,0.07016,0.00049
0.0521,0.15503,0.06694,0.00031
0.05208,0.14561,0.06704,0.00029
0.05187,0.14481,0.0649,0.00029
0.04701,0.1408,0.06264,0.00019
0.04644,0.13534,0.06177,0.00018
0.04479,0.1334,0.05838,4e-05
0.04245,0.12836,0.05773,0.00012
0.04224,0.1281,0.05794,0.00013
0.03904,0.12226,0.05531,0.00012
0.03993,0.12137,0.05277,5e-05
0.03805,0.1183,0.0522,0.00013
0.03547,0.117,0.05042,2e-05
0.03511,0.11198,0.04842,5e-05
0.03483,0.11102,0.04728,3e-05
0.03199,0.10907,0.04885,1e-05
0.03012,0.10383,0.04552,3e-05
0.0291,0.10351,0.04456,4e-05
0.03,0.10016,0.04218,2e-05
0.0288,0.09817,0.04311,1e-05
0.02747,0.09167,0.03974,3e-05
0.02686,0.09447,0.04032,1e-05
0.02712,0.09255,0.03799,0
0.02446,0.0876,0.03681,1e-05
0.02467,0.08588,0.03563,1e-05
0.02191,0.0851,0.03522,0
0.02134,0.08313,0.03516,0
0.02117,0.07724,0.03388,0
0.02038,0.07916,0.03365,0
0.02072,0.07549,0.03179,0
0.01963,0.07484,0.03044,0
0.01908,0.07186,0.03004,0
0.01706,0.07046,0.02883,0
0.01843,0.06724,0.02796,0
0.01762,0.0657,0.02721,0
0.01531,0.06383,0.02637,0
0.01609,0.06544,0.02593,0
0.01507,0.06114,0.02468,0
0.01509,0.0611,0.02475,0
0.01359,0.05988,0.02409,0
0.0135,0.05801,0.02336,0
0.01329,0.05743,0.0228,0
