E91,E91 (With Repeater),3-Stage,Decoy
0.40602,0.28248,0.61061,0.16777
0.37553,0.24956,0.60911,0.16409
0.35355,0.21573,0.61577,0.15095
0.32633,0.18749,0.61006,0.14194
0.30869,0.16533,0.61426,0.12866
0.28509,0.14611,0.59756,0.12179
0.27307,0.12489,0.58564,0.11492
0.25251,0.10773,0.56118,0.10576
0.23495,0.09451,0.52072,0.09713
0.21463,0.08281,0.47173,0.09202
0.20034,0.07356,0.43007,0.08674
0.1877,0.06243,0.3828,0.08113
0.17762,0.05431,0.3299,0.0766
0.16187,0.04639,0.29435,0.0695
0.15619,0.04088,0.24627,0.06325
0.14488,0.03704,0.20843,0.06196
0.13609,0.03038,0.17505,0.05548
0.12645,0.02562,0.14491,0.05337
0.11631,0.02369,0.12481,0.04815
0.1095,0.0212,0.09707,0.04725
0.10157,0.01856,0.08415,0.04164
0.09553,0.01547,0.06546,0.04202
0.08683,0.01438,0.05534,0.03731
0.08385,0.01263,0.0471,0.036
0.07454,0.01069,0.03873,0.03495
0.07114,0.00849,0.03198,0.03007
0.06467,0.00669,0.02448,0.02893
0.06298,0.00665,0.0199,0.02744
0.06197,0.00565,0.01724,0.02485
0.05502,0.00573,0.0139,0.02477
0.05159,0.00437,0.0105,0.02007
0.04865,0.00396,0.00909,0.02008
0.04567,0.0026,0.00632,0.01757
0.03926,0.0033,0.00509,0.01712
0.03926,0.00267,0.00554,0.01555
0.03632,0.00241,0.00393,0.01493
0.034,0.00193,0.003,0.01388
0.03168,0.00188,0.0026,0.01423
0.0294,0.00178,0.00194,0.01196
0.02718,0.00144,0.00196,0.01085
0.02423,0.00086,0.00165,0.01018
0.02432,0.00116,0.0011,0.00925
0.02224,0.00085,0.00072,0.00967
0.02232,0.00061,0.00081,0.00936
0.01851,0.00045,0.00057,0.0086
0.01769,0.00024,0.00068,0.00755
0.01736,0.00026,0.00035,0.00727
0.01574,0.00041,0.00033,0.0069
0.01478,0.00052,0.00028,0.00582
0.01312,0.0002,0.0001,0.00564
0.01331,0.00026,0.00018,0.00562
0.01129,0.00021,7e-05,0.00533
0.01207,0.00015,1e-05,0.00497
0.00941,1e-05,5e-05,0.0049
0.00972,0.0002,8e-05,0.00407
0.00944,6e-05,0.00016,0.00365
0.00845,0.00012,6e-05,0.0029
0.00845,0.00015,8e-05,0.00338
0.00747,7e-05,5e-05,0.00316
0.00637,0.00014,6e-05,0.00288
0.00656,0.00013,5e-05,0.00252
0.00654,0.00011,0,0.00277
0.00603,7e-05,4e-05,0.00248
0.00498,7e-05,2e-05,0.00261
0.00423,9e-05,2e-05,0.00226
0.00369,2e-05,1e-05,0.00194
0.0044,0,2e-05,0.00189
0.00425,1e-05,1e-05,0.00193
0.0037,6e-05,0,0.00133
0.00347,4e-05,0,0.00167
0.00284,3e-05,0,0.00136
0.00301,0,0,0.00154
0.00325,2e-05,0,0.00101
0.00276,3e-05,0,0.00135
0.00232,0,0,0.00126
