Decoy,3-Stage,E91,E91 (Repeater)
0.1828,0.6102,0.4159,0.2951
0.1604,0.6202,0.377,0.3047
0.1494,0.6181,0.3402,0.3097
0.1374,0.6385,0.3208,0.3075
0.1286,0.6201,0.3051,0.3044
0.1109,0.622,0.2861,0.3034
0.1084,0.5828,0.253,0.2954
0.1069,0.572,0.2362,0.3142
0.1006,0.5288,0.2283,0.296
0.0897,0.4719,0.2095,0.2968
0.0819,0.4323,0.2119,0.3024
0.0793,0.3924,0.2074,0.3024
0.0771,0.3438,0.1761,0.2974
0.0622,0.2729,0.1591,0.307
0.0568,0.237,0.1634,0.286
0.0586,0.2139,0.1541,0.3051
0.0548,0.1812,0.1427,0.2762
0.0546,0.1629,0.1303,0.2974
0.0487,0.1205,0.1181,0.3099
0.0445,0.1053,0.1109,0.2726
0.0505,0.0839,0.1,0.2938
0.0427,0.0655,0.0924,0.2652
0.0336,0.0504,0.0863,0.2645
0.0306,0.0477,0.0788,0.2882
0.0364,0.0309,0.079,0.2558
0.0226,0.0275,0.0683,0.2798
0.0299,0.0262,0.0676,0.2598
0.0268,0.0206,0.0559,0.2643
0.0203,0.0162,0.0638,0.2249
0.0206,0.0116,0.06,0.2249
0.0174,0.0084,0.0498,0.2419
0.0225,0.0077,0.0502,0.2361
0.0202,0.0078,0.049,0.2276
0.0194,0.0036,0.0333,0.2199
0.0194,0.0069,0.0414,0.2117
0.0127,0.0054,0.0354,0.1963
0.0156,0.0023,0.0349,0.2036
0.0163,0.0037,0.0319,0.1964
0.0085,0.0029,0.0321,0.1891
0.0126,0.0023,0.0262,0.1692
0.0129,0.0015,0.0258,0.1749
0.0084,0.0017,0.0206,0.1538
0.0126,0.0019,0.0241,0.1686
0.0078,0.0006,0.0229,0.1597
0.0089,0.0007,0.0163,0.1583
0.006,0.0012,0.0148,0.1581
0.0064,0.0008,0.0194,0.129
0.0057,0.0003,0.015,0.136
0.0067,0,0.0127,0.1226
0.0058,0.0004,0.0144,0.1282
0.0046,0.0003,0.0121,0.1
0.0069,0.0002,0.0165,0.1055
0.002,0.0003,0.0094,0.1093
0.0031,0,0.0101,0.1
0.0058,0,0.0106,0.1004
0.0046,0.0001,0.012,0.0872
0.0028,0.0002,0.0087,0.0848
0.0042,0,0.0083,0.0896
0.0017,0,0.0078,0.073
0.0037,0,0.0083,0.0763
0.0025,0.0001,0.0085,0.0611
0.0034,0,0.0056,0.0712
0.002,0,0.0058,0.064
0.0037,0,0.0051,0.0631
0.0007,0,0.0041,0.0553
0.0021,0,0.0057,0.0687
0.0019,0,0.0059,0.0441
0.0021,0,0.0051,0.0451
0.0003,0,0.004,0.0509
0.0017,0,0.0046,0.0494
0.0013,0,0.0038,0.0455
0.0019,0,0.0038,0.0287
0.0012,0,0.0028,0.0288
0.0009,0,0.0029,0.0306
0.001,0,0.0017,0.0314
0.0011,0,0.0028,0.0317
0,0,0.0016,0.023
0.0004,0,0.0023,0.0293
0.0012,0,0.0021,0.0237
0.0008,0,0.0023,0.0226
0.0005,0,0.0024,0.0226
0.0011,0,0.0014,0.018
0.0005,0,0.0021,0.0257
0.0004,0,0.0019,0.0164
0.0007,0,0.0006,0.015
0.0005,0,0.0009,0.0204
0,0,0.0014,0.0191
0,0,0.001,0.0117
0.0007,0,0.0009,0.0154
0.0003,0,0.0007,0.0162
0.0002,0,0.0011,0.0121
0.0005,0,0.0008,0.0105
0.0002,0,0.0008,0.0104
0.0002,0,0.0003,0.0071
0.0001,0,0.0002,0.0111
0.0003,0,0.0011,0.0115
0.0006,0,0,0.0121
0.0002,0,0,0.0107
0.0002,0,0.0002,0.0063
0.0004,0,0.0002,0.0086
0,0,0.0005,0.0042
0.0001,0,0,0.006
0.0003,0,0.0004,0.0085
0.0002,0,0.0005,0.0078
0.0002,0,0.0005,0.0054
0.0001,0,0.0005,0.0062
0.0002,0,0.0005,0.002
0,0,0.0001,0.0023
0.0001,0,0.0003,0.0046
0,0,0,0.0037
0.0001,0,0.0003,0.0059
0,0,0,0.0026
0.0002,0,0.0001,0.0027
0.0001,0,0.0006,0.0032
0,0,0.0001,0.0025
0,0,0.0001,0.0026
0.0002,0,0.0003,0.0033
0.0001,0,0.0002,0.003
0,0,0.0002,0.0024
0,0,0.0002,0.0018
0.0001,0,0,0.0021
0,0,0.0002,0.0027
0,0,0.0002,0.001
0,0,0.0001,0.0021
0,0,0.0001,0.0017
