Burst = 1,Burst = 5,Burst = 10,Burst = 15,Burst = 20
0.296,0.3091,0.3098,0.3095,0.2976
0.2751,0.3199,0.3081,0.3177,0.3017
0.2592,0.3118,0.3016,0.2962,0.311
0.2422,0.2989,0.2994,0.2973,0.313
0.2269,0.3124,0.3096,0.3046,0.3131
0.2034,0.3068,0.2882,0.2927,0.2942
0.1961,0.3107,0.3237,0.3086,0.3038
0.1782,0.2921,0.3105,0.3018,0.3012
0.18,0.3065,0.3038,0.2978,0.3053
0.1588,0.2998,0.3002,0.3063,0.3018
0.1393,0.2996,0.3078,0.3001,0.325
0.1351,0.3095,0.3024,0.2991,0.3132
0.1161,0.2795,0.3212,0.3142,0.3061
0.1041,0.3,0.3247,0.2981,0.3155
0.1092,0.3061,0.3002,0.2975,0.3136
0.1068,0.2936,0.3169,0.2962,0.3256
0.1012,0.2733,0.3008,0.3042,0.2963
0.0909,0.2906,0.2942,0.3136,0.3022
0.078,0.295,0.2885,0.3175,0.3073
0.0726,0.2975,0.3226,0.2981,0.297
0.0856,0.2992,0.2806,0.3224,0.3265
0.0611,0.2667,0.3003,0.3033,0.3086
0.0615,0.2903,0.3124,0.3007,0.3134
0.0562,0.2645,0.3241,0.3113,0.3037
0.0601,0.2691,0.2953,0.292,0.3138
0.0448,0.2575,0.3085,0.3015,0.2923
0.045,0.2709,0.3037,0.3136,0.3028
0.047,0.2636,0.2994,0.3103,0.3153
0.0481,0.2517,0.293,0.2936,0.2985
0.0439,0.2367,0.3076,0.3073,0.3168
0.0386,0.2307,0.3008,0.3177,0.318
0.0445,0.2439,0.2919,0.3245,0.3157
0.0321,0.2201,0.2843,0.2987,0.2994
0.0303,0.2196,0.2841,0.3263,0.2923
0.0285,0.2086,0.289,0.2979,0.3237
0.0286,0.2058,0.2856,0.3018,0.3064
0.0303,0.2065,0.2753,0.3057,0.2922
0.0225,0.2076,0.2794,0.3075,0.3137
0.02,0.1993,0.2734,0.2988,0.3102
0.0167,0.1795,0.2658,0.2963,0.3052
0.0203,0.1625,0.2613,0.308,0.3021
0.0152,0.1723,0.2815,0.2856,0.3081
0.014,0.1611,0.2396,0.294,0.29
0.0152,0.1649,0.258,0.278,0.3258
0.0121,0.1646,0.2523,0.2889,0.2941
0.0126,0.141,0.2604,0.3005,0.2794
0.0119,0.1496,0.2541,0.2931,0.313
0.0109,0.1241,0.2429,0.2685,0.2984
0.0093,0.1369,0.2343,0.2653,0.3188
0.0097,0.1216,0.2315,0.2599,0.2846
0.0068,0.1255,0.2335,0.2595,0.3109
0.0041,0.1251,0.2315,0.2584,0.2938
0.0097,0.0925,0.2074,0.2611,0.2954
0.009,0.111,0.2098,0.2541,0.2662
0.0058,0.104,0.2022,0.2608,0.2968
0.007,0.0889,0.2003,0.2503,0.275
0.0075,0.0969,0.1778,0.2383,0.2866
0.0054,0.0769,0.1812,0.2401,0.2687
0.0063,0.0775,0.1864,0.2342,0.2846
0.0041,0.0722,0.167,0.2353,0.2699
0.0059,0.0789,0.167,0.2231,0.265
0.0059,0.0689,0.1634,0.2031,0.2657
0.0034,0.0672,0.1518,0.2228,0.2575
0.0034,0.0574,0.1532,0.1918,0.2592
0.0044,0.0621,0.1481,0.1914,0.2441
0.0037,0.0546,0.1319,0.1987,0.2586
0.0036,0.0448,0.1415,0.1947,0.2337
0.0014,0.0476,0.12,0.1858,0.2171
0.004,0.0415,0.1195,0.1798,0.2164
0.0034,0.0461,0.116,0.1804,0.2046
0.0041,0.0382,0.1122,0.1748,0.2205
0.002,0.0367,0.1082,0.1821,0.2305
0.0018,0.0333,0.1044,0.1511,0.2043
0.0032,0.0335,0.098,0.1578,0.1989
0.0013,0.0313,0.0876,0.1358,0.1905
