Line,Square,Ring,Star
0.2832,0.3333,0.2891,0.2952
0.2734,0.3143,0.2728,0.274
0.2542,0.3004,0.2591,0.2456
0.2403,0.2728,0.2174,0.227
0.2137,0.2712,0.186,0.2218
0.2128,0.2239,0.1638,0.209
0.1812,0.2239,0.177,0.1807
0.1803,0.2083,0.1524,0.1929
0.1806,0.184,0.132,0.1739
0.1603,0.1964,0.1032,0.1483
0.1525,0.1905,0.0996,0.1624
0.1342,0.1711,0.0988,0.143
0.1365,0.1537,0.079,0.1383
0.1333,0.1399,0.0826,0.1195
0.1095,0.1383,0.0617,0.1025
0.1092,0.1182,0.0618,0.1028
0.081,0.1192,0.0494,0.0971
0.0873,0.1079,0.0387,0.0827
0.0794,0.0979,0.0412,0.0869
0.087,0.093,0.0418,0.0761
0.0746,0.0862,0.028,0.0774
0.0638,0.0888,0.0238,0.0746
0.0605,0.0738,0.0215,0.0605
0.0567,0.0598,0.0279,0.0577
0.0654,0.0623,0.0257,0.0587
0.054,0.0685,0.0152,0.0642
0.0476,0.0543,0.0159,0.0455
0.0433,0.055,0.0193,0.0383
0.0494,0.0398,0.0139,0.0458
0.0413,0.0393,0.0085,0.0387
0.0421,0.0409,0.0099,0.0367
0.0328,0.0484,0.0118,0.0304
0.0361,0.0354,0.0113,0.0332
0.025,0.0334,0.0067,0.0323
0.0318,0.0248,0.0069,0.0278
0.025,0.0241,0.0077,0.0249
0.0241,0.0251,0.0065,0.0228
0.0248,0.0268,0.0056,0.0222
0.022,0.0199,0.006,0.0257
0.0165,0.0191,0.0051,0.0224
0.0157,0.0189,0.0041,0.018
0.0218,0.0118,0.0008,0.0188
0.0176,0.0103,0.001,0.0202
0.0131,0.0133,0.0029,0.0165
0.0171,0.0129,0.0017,0.0161
0.0171,0.0082,0.0014,0.013
0.0105,0.0095,0.0011,0.01
0.0125,0.0073,0.0027,0.0114
0.0101,0.0067,0.0036,0.0114
0.011,0.0041,0.0009,0.0067
0.0113,0.0064,0.0014,0.0127
0.0089,0.004,0.0011,0.0055
0.0083,0.0028,0.0005,0.0084
0.0054,0.0082,0,0.005
0.0083,0.0022,0.0024,0.0085
0.009,0.0078,0.0016,0.0065
0.0082,0.0041,0.0006,0.0059
0.0069,0.0024,0.001,0.0054
0.0067,0.0026,0.0013,0.0083
0.0049,0.0035,0.0009,0.005
0.0044,0.0031,0.0009,0.0033
0.0023,0.0059,0.0001,0.0055
0.004,0.002,0,0.0041
0.0011,0.0031,0,0.0036
0.0031,0.001,0,0.004
0.0026,0.0029,0.0004,0.0053
0.0029,0.0014,0.0003,0.0032
0.0018,0.0028,0,0.001
0.004,0.0025,0.0004,0.0019
0.0044,0.0017,0.0001,0.0041
0.0028,0.0013,0.0002,0.0026
0.0035,0,0.0002,0.002
0.0014,0.0017,0.0003,0.0013
0.0009,0.0013,0.0001,0.0027
0.0017,0.0002,0.0002,0.002
0.0006,0.0009,0.0001,0.0027
0.001,0.0005,0.0002,0.0025
0.0012,0.0007,0.0002,0.0004
0.0016,0,0,0.0018
0.002,0.0005,0.0002,0.0015
0.0019,0.0003,0,0.0012
0.0017,0,0,0.0012
0.0014,0.0005,0,0.0007
0.0006,0.0007,0.0001,0.0011
0.0006,0,0,0.0012
0.0003,0.0003,0,0.0011
0.0002,0.0002,0,0.0006
0.0011,0.0002,0,0
0.001,0.0001,0,0
0.0008,0.0003,0.0001,0
0.001,0.0003,0,0.0008
0.0004,0,0,0.0007
0.0004,0.0001,0,0.0002
0.0007,0,0,0.0007
0.0007,0.0001,0,0.0004
0.0005,0,0.0001,0.0005
0.0007,0.0001,0.0001,0.0005
0.0004,0,0,0.0006
0.0001,0,0,0.0001
0.0004,0,0.0001,0.0008
0.0004,0.0001,0,0.0005
0.0002,0,0,0.0004
0.0004,0.0002,0,0.0007
0.0003,0.0001,0,0.0002
0.0003,0.0001,0,0.0001
0.0005,0,0,0.0004
0.0004,0.0001,0,0.0007
0.0002,0.0002,0,0
0,0,0,0.0004
0.0005,0,0,0.0001
0.0003,0.0001,0,0.0001
0,0.0001,0,0.0004
0.0002,0,0,0
0.0001,0,0,0
0.0001,0,0,0.0002
0.0001,0,0,0.0001
0.0003,0.0001,0,0.0002
0.0001,0,0.0001,0.0001
0.0002,0,0,0.0003
0.0002,0.0001,0,0.0001
0.0001,0,0,0
0,0,0,0.0001
0,0,0,0
0,0,0,0
0,0.0001,0,0.0001
