E91,3-Stage,Decoy
0.28825,0.24508,0.43116
0.26306,0.20425,0.40718
0.24717,0.16549,0.36812
0.23824,0.13965,0.34902
0.21572,0.10553,0.33026
0.20154,0.0932,0.30112
0.19005,0.06952,0.28286
0.17601,0.05926,0.25871
0.16418,0.04928,0.24443
0.15379,0.03998,0.22784
0.14662,0.03216,0.21664
0.13575,0.02757,0.19743
0.1254,0.0211,0.18447
0.11534,0.01862,0.17385
0.11074,0.01423,0.16226
0.10461,0.01053,0.15259
0.09821,0.00758,0.14438
0.08836,0.00719,0.13485
0.08369,0.00527,0.12544
0.07696,0.00424,0.11638
0.07092,0.00407,0.10843
0.06549,0.00359,0.10287
0.0647,0.00261,0.09111
0.05791,0.00257,0.08757
0.0544,0.00233,0.08124
0.05095,0.00152,0.07354
0.04951,0.00134,0.0718
0.04594,0.00095,0.06365
0.04023,0.00065,0.0632
0.03853,0.00076,0.05954
