E91,3-Stage,Decoy
0.4023,0.6192,0.1678
0.3704,0.5825,0.1678
0.3637,0.5982,0.1565
0.358,0.6112,0.1458
0.3584,0.6001,0.152
0.3175,0.5969,0.1293
0.3232,0.6179,0.1318
0.3149,0.6067,0.1355
0.3004,0.6168,0.1221
0.2848,0.5969,0.107
0.2761,0.5784,0.1077
0.2767,0.6037,0.1138
0.2616,0.6017,0.1146
0.2587,0.573,0.1047
0.2432,0.5587,0.1069
0.2419,0.5428,0.1011
0.2211,0.4987,0.1025
0.2337,0.482,0.0904
0.2159,0.4625,0.0851
0.2158,0.4456,0.0868
0.1971,0.4254,0.0778
0.1875,0.4152,0.078
0.1864,0.3708,0.0798
0.1812,0.3441,0.0797
0.1797,0.3432,0.068
0.1687,0.2878,0.0651
0.1564,0.2661,0.0744
0.1525,0.2621,0.0618
0.1577,0.23,0.0648
0.1447,0.2234,0.0607
0.143,0.1948,0.0625
0.1314,0.1838,0.0587
0.1396,0.1785,0.0544
0.1315,0.1449,0.0584
0.121,0.1321,0.0538
0.1148,0.1276,0.0511
0.1145,0.1175,0.0472
0.1144,0.1121,0.0476
0.1042,0.1006,0.0434
0.106,0.0837,0.0443
0.1067,0.0775,0.0461
0.0968,0.071,0.0419
0.0942,0.0648,0.0371
0.0893,0.0566,0.0315
0.077,0.0509,0.0356
0.0827,0.0453,0.0374
0.0864,0.0469,0.0321
0.078,0.0293,0.0304
0.0837,0.0301,0.0316
0.0764,0.0294,0.0285
0.0671,0.0309,0.0286
0.066,0.023,0.0306
0.0659,0.0259,0.0302
0.063,0.0182,0.0275
0.0655,0.015,0.0227
0.0647,0.0194,0.0254
0.0557,0.0131,0.0222
0.0513,0.0142,0.0234
0.0577,0.0069,0.0239
0.0533,0.0113,0.0201
0.0496,0.0113,0.0203
0.0444,0.0091,0.0194
0.0401,0.006,0.0168
0.0515,0.0063,0.0175
0.0469,0.0066,0.0156
0.0401,0.0046,0.0153
0.0425,0.0048,0.0168
0.0335,0.0053,0.0151
0.0375,0.0043,0.0112
0.034,0.0035,0.0138
0.0337,0.0022,0.0143
0.0342,0.0021,0.0153
0.0326,0.0011,0.0128
0.0332,0.0027,0.0112
0.0315,0.0031,0.0118
0.0292,0.0009,0.0137
0.0304,0.0001,0.0119
0.0258,0.0025,0.0116
0.0262,0.0016,0.0116
0.0238,0.0016,0.01
0.0252,0.0012,0.0109
0.0239,0.0011,0.0097
0.0166,0,0.0092
0.0199,0.0017,0.0105
0.0184,0.0003,0.0087
0.0212,0.0002,0.0099
0.019,0.0004,0.0077
0.0214,0,0.0095
0.02,0,0.0067
0.0167,0.0002,0.0078
0.0135,0.0003,0.0073
0.0168,0.0009,0.0074
0.0198,0.0004,0.0049
0.0118,0,0.0081
0.0105,0.0002,0.0068
0.0119,0.0005,0.0054
0.0155,0.0003,0.0059
0.0132,0.0003,0.0056
0.0147,0.0001,0.0063
0.0126,0.0001,0.0065
